,Id,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Mo Sold,Yr Sold,Sale Type,SalePrice,reno,years_of_house,BsmtRms,GrRms
10,1044,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,483.0,GasA,TA,Y,SBrkr,0,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,None,Detchd,Unf,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,None,None,7,2008,COD,85400,0,37,0.0,7
11,2752,RL,64.0,7488,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1208.0,GasA,Ex,Y,SBrkr,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,None,Attchd,RFn,2.0,632.0,TA,TA,Y,105,58,0,0,0,0,None,None,2,2006,WD ,183600,0,1,0.0,9
12,807,RL,120.0,26400,Pave,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,None,None,None,None,None,0.0,GasA,Ex,Y,SBrkr,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,Unf,2.0,576.0,TA,TA,P,0,0,0,0,0,0,None,None,6,2009,WD ,131000,1,129,0.0,9
13,1177,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,960.0,GasA,Ex,Y,SBrkr,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Detchd,Unf,2.0,480.0,TA,TA,Y,169,0,0,0,0,0,None,None,12,2008,ConLD,200000,1,9,1.0,11
14,1480,RL,74.0,9627,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1351.0,GasA,Ex,Y,SBrkr,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,RFn,2.0,610.0,TA,TA,Y,0,50,0,0,0,0,None,None,6,2008,WD ,193000,0,1,0.0,9
15,324,RL,93.0,10114,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,GasA,Ex,Y,SBrkr,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,2.0,624.0,TA,TA,Y,0,0,0,0,0,0,None,None,3,2010,WD ,173500,1,6,0.0,10
16,1311,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,GasA,Fa,N,SBrkr,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,None,Detchd,Unf,3.0,513.0,Fa,Fa,Y,0,0,96,0,0,0,None,None,5,2008,COD,98000,1,92,0.0,9
17,770,RL,80.0,8816,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Rec,Unf,1121.0,GasA,TA,Y,SBrkr,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,2.0,480.0,TA,TA,Y,0,80,0,0,0,0,None,MnPrv,6,2009,WD ,139000,0,46,1.0,7
18,2063,RL,71.0,8197,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,GasA,Ex,Y,SBrkr,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,528.0,TA,TA,Y,138,0,0,0,0,0,None,MnPrv,4,2007,WD ,143500,0,30,0.0,10
19,69,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,756.0,GasA,Ex,Y,SBrkr,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,None,None,6,2010,Con,215200,0,1,0.0,11
20,2062,RL,109.0,8724,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,894.0,GasA,Gd,Y,SBrkr,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,Fin,2.0,450.0,TA,TA,Y,0,0,0,0,0,0,None,None,5,2007,WD ,129000,0,39,0.0,7
21,351,RL,40.0,5664,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1501.0,GasA,Ex,Y,SBrkr,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,Fin,2.0,499.0,TA,TA,Y,212,59,0,0,0,0,None,None,10,2009,WD ,278000,0,9,1.0,8
22,2393,RL,103.0,12867,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,[0.],Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,GasA,Ex,Y,SBrkr,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,2.0,575.0,TA,TA,Y,243,142,0,0,0,0,None,None,7,2006,New,344133,1,1,0.0,12
23,12,RL,68.0,7980,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,GasA,Ex,Y,SBrkr,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,None,Attchd,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,0,None,GdPrv,3,2010,WD ,184500,1,18,1.0,9
24,2339,RL,100.0,34650,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,1056.0,GasA,TA,N,SBrkr,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Attchd,Fin,2.0,572.0,TA,TA,Y,264,0,0,0,0,0,None,None,1,2006,WD ,145000,0,51,1.0,7
25,624,RL,92.0,10573,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1453.0,GasA,Ex,Y,SBrkr,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2.0,530.0,TA,TA,Y,0,49,0,0,288,0,None,GdPrv,4,2009,WD ,187500,0,48,1.0,9
26,86,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,894.0,GasA,Ex,Y,SBrkr,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,Unf,1.0,336.0,TA,TA,Y,416,144,0,0,0,0,None,MnPrv,4,2010,WD ,138500,1,45,1.0,7
27,1534,RL,68.0,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,942.0,GasA,Ex,Y,SBrkr,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,Unf,1.0,240.0,TA,TA,Y,0,40,0,0,0,0,None,None,7,2008,WD ,198000,1,71,0.0,10
28,2243,C (all),75.0,8250,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,GasA,Fa,N,SBrkr,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,None,None,None,0.0,0.0,None,None,N,0,0,133,0,0,0,None,None,6,2007,WD ,119600,1,112,0.0,13
29,1957,RL,60.0,8064,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Unf,Unf,672.0,GasA,Ex,Y,SBrkr,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,Unf,2.0,576.0,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,7,2007,WD ,120900,1,58,0.0,8
30,380,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,2524.0,GasA,TA,Y,SBrkr,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,Fin,2.0,542.0,TA,TA,Y,474,120,0,0,0,0,None,MnPrv,7,2009,WD ,278000,0,28,1.0,13
31,2860,RL,68.0,11435,Pave,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,GasA,Fa,Y,SBrkr,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,Unf,2.0,400.0,TA,TA,Y,0,0,0,0,0,0,None,None,6,2006,WD ,230000,1,77,0.0,9
32,2517,RL,30.0,9549,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,1494.0,GasA,Ex,Y,SBrkr,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2.0,481.0,TA,TA,Y,0,30,0,0,216,0,None,None,4,2006,WD ,270000,1,11,1.0,9
33,1933,RL,60.0,10950,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,948.0,GasA,TA,Y,SBrkr,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,Unf,2.0,410.0,TA,TA,N,0,48,0,0,0,0,None,None,4,2007,WD ,125000,0,55,0.0,7
34,820,RL,79.0,10637,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,1705.0,GasA,Ex,Y,SBrkr,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3.0,826.0,TA,TA,Y,208,44,0,0,0,0,None,None,9,2009,WD ,297000,1,2,1.0,10
35,675,RL,80.0,9000,Pave,None,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,GasA,Fa,Y,SBrkr,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,RFn,1.0,384.0,TA,TA,Y,0,28,64,0,0,0,None,None,4,2009,WD ,113500,0,51,0.0,7
36,2910,RM,41.0,2665,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,ALQ,Rec,757.0,GasA,Ex,Y,SBrkr,0,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,RFn,1.0,336.0,TA,TA,Y,104,26,0,0,0,0,None,None,7,2006,WD ,127000,0,29,0.0,9
37,21,RL,105.0,11751,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1844.0,GasA,Ex,Y,SBrkr,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,RFn,2.0,546.0,TA,TA,Y,0,122,0,0,0,0,None,MnPrv,1,2010,COD,190000,0,33,0.0,10
38,1873,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1242.0,GasA,Fa,Y,SBrkr,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,Unf,2.0,528.0,TA,TA,Y,0,0,0,0,0,0,None,None,9,2007,WD ,175500,0,34,0.0,9
39,2125,RL,60.0,8428,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,990.0,GasA,Ex,Y,SBrkr,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1.0,384.0,TA,TA,Y,256,0,0,0,0,0,None,None,7,2007,WD ,146000,0,13,1.0,7
40,1489,RL,75.0,9937,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,LwQ,1256.0,GasA,Gd,Y,SBrkr,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,None,Attchd,Fin,1.0,276.0,TA,TA,Y,736,68,0,0,0,0,None,None,6,2008,WD ,147500,0,43,1.0,9
41,2383,RL,107.0,13891,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,[0.],Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,2076.0,GasA,Ex,Y,SBrkr,0,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,Fin,3.0,850.0,TA,TA,Y,216,229,0,0,0,0,None,None,9,2006,New,465000,0,0,1.0,11
42,983,RL,68.0,9101,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,1097.0,GasA,Ex,Y,SBrkr,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,Fin,2.0,602.0,TA,TA,Y,303,30,0,0,0,0,None,None,7,2009,WD ,165500,0,31,1.0,6
43,1325,RM,81.0,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,GasA,Ex,N,FuseF,0,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,None,Attchd,Unf,1.0,352.0,Fa,TA,Y,0,0,0,0,0,0,None,None,11,2008,WD ,131500,0,54,0.0,10
44,1378,RL,70.0,11200,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040.0,GasA,Ex,Y,SBrkr,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1.0,384.0,TA,TA,Y,0,0,0,0,0,0,None,None,2,2008,WD ,129500,0,43,1.0,7
45,1537,RL,100.0,9670,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,LwQ,Unf,608.0,GasA,TA,Y,SBrkr,0,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,Fin,2.0,786.0,Fa,TA,Y,0,0,207,0,0,0,None,None,6,2008,WD ,257076,1,73,0.0,12
46,905,RL,60.0,10998,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,984.0,GasA,Ex,Y,SBrkr,0,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,None,Detchd,Unf,2.0,660.0,TA,TA,Y,0,68,0,0,0,0,None,None,7,2009,WD ,117000,1,68,0.0,9
47,1532,RL,60.0,7200,Pave,None,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,Unf,Unf,776.0,GasA,TA,Y,SBrkr,0,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,RFn,1.0,270.0,TA,TA,P,0,0,112,0,0,0,None,MnPrv,2,2008,WD ,149000,1,77,0.0,9
48,132,RL,80.0,9920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,Rec,LwQ,1056.0,GasA,TA,Y,SBrkr,0,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,RFn,1.0,280.0,TA,TA,Y,0,0,164,0,0,0,None,MnPrv,2,2010,WD ,128000,0,56,1.0,8
49,1078,RL,36.0,2448,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,GasA,Ex,Y,SBrkr,0,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,None,BuiltIn,RFn,2.0,474.0,TA,TA,Y,0,27,0,0,0,0,None,None,10,2008,WD ,155000,1,5,0.0,10
